epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2673.87,1.25933,0.63038,0.00284,0.89222,0.80323,0.87894,0.58828,0.95846,0.65209,0.00288,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2756.4,1.25666,0.62407,0.00282,0.89596,0.8103,0.88049,0.59382,0.93877,0.64566,0.00281,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2839.04,1.25393,0.62203,0.00277,0.90464,0.80287,0.87542,0.58775,0.95152,0.65067,0.00296,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2921.84,1.24159,0.6139,0.00281,0.89647,0.80158,0.88079,0.59304,0.95093,0.65994,0.00284,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3003.87,1.2333,0.60791,0.00275,0.89388,0.8122,0.87549,0.59041,0.92947,0.64122,0.00262,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3085.93,1.23433,0.60126,0.00276,0.89716,0.81203,0.88236,0.59758,0.92081,0.63625,0.00274,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3167.7,1.22841,0.60286,0.00279,0.89136,0.8214,0.8828,0.6001,0.9394,0.64336,0.00289,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3249.77,1.23667,0.61178,0.00282,0.90323,0.81659,0.89078,0.60952,0.90419,0.62466,0.00264,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3332.18,1.22168,0.59835,0.00264,0.88244,0.81762,0.88042,0.60245,0.90156,0.61798,0.00251,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3413.44,1.22891,0.59873,0.00272,0.89616,0.81787,0.88461,0.6034,0.9023,0.61746,0.00253,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3494.98,1.22797,0.58986,0.00268,0.91451,0.80907,0.88666,0.59988,0.93164,0.62722,0.00267,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3576.16,1.21851,0.59169,0.00269,0.90631,0.81614,0.88692,0.60684,0.90531,0.63176,0.00265,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3657.21,1.22585,0.60085,0.00271,0.90759,0.81064,0.88575,0.61022,0.9134,0.64056,0.00274,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3738.95,1.22028,0.57906,0.0027,0.91363,0.81133,0.88875,0.60908,0.89816,0.62592,0.00262,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3820.94,1.2283,0.591,0.0027,0.89781,0.82093,0.89083,0.61079,0.89586,0.61284,0.00252,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3902.52,1.20535,0.58092,0.00267,0.90006,0.81221,0.8898,0.61233,0.88367,0.61314,0.00244,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3984.46,1.20234,0.58523,0.00268,0.9022,0.81672,0.88691,0.61373,0.88079,0.60646,0.00241,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4065.61,1.22778,0.5807,0.00266,0.89724,0.82691,0.89181,0.61605,0.90341,0.60603,0.00255,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4147.02,1.21184,0.58876,0.00274,0.91458,0.81644,0.89231,0.61879,0.86962,0.61547,0.00241,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4229.12,1.21182,0.58394,0.0026,0.90943,0.82029,0.89205,0.6123,0.89589,0.60993,0.00249,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4311.09,1.20416,0.57677,0.00267,0.9054,0.81676,0.89076,0.61682,0.89338,0.61788,0.00249,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4393.86,1.20365,0.57665,0.00261,0.90529,0.81226,0.88816,0.619,0.88388,0.61478,0.00248,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4475.28,1.18677,0.55766,0.00266,0.91014,0.81997,0.89504,0.62219,0.87252,0.59637,0.00246,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4556.99,1.18458,0.57066,0.00261,0.9152,0.81786,0.89283,0.61648,0.87582,0.6285,0.00242,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4638.77,1.20718,0.57024,0.00261,0.91963,0.81787,0.89123,0.6155,0.88655,0.61437,0.00252,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4719.97,1.18219,0.56247,0.00256,0.92001,0.81727,0.89644,0.62155,0.87054,0.60043,0.00238,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4801.19,1.19165,0.56721,0.0026,0.91942,0.82102,0.89565,0.62254,0.8826,0.59625,0.00245,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4882.53,1.19907,0.56505,0.00258,0.91491,0.81715,0.89108,0.61924,0.87522,0.59984,0.00238,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,4963.91,1.18255,0.56143,0.00257,0.912,0.82207,0.89453,0.62262,0.87058,0.59995,0.00231,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5045.63,1.18911,0.56863,0.00257,0.91508,0.81343,0.89303,0.62231,0.8622,0.58798,0.00231,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5127.4,1.18762,0.55532,0.00258,0.91184,0.82081,0.89465,0.62264,0.86578,0.5937,0.0023,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5209.24,1.1862,0.55001,0.00254,0.89894,0.829,0.89091,0.61797,0.87818,0.60271,0.0024,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5290.79,1.18958,0.56005,0.0026,0.90866,0.82494,0.89756,0.62337,0.87013,0.60124,0.0023,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5372.16,1.17957,0.55809,0.00248,0.90874,0.82075,0.89351,0.62025,0.86878,0.59752,0.00235,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5453.9,1.19495,0.56299,0.00251,0.9108,0.81863,0.89357,0.62217,0.86625,0.58931,0.00234,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5535.18,1.17283,0.54874,0.00252,0.91964,0.82016,0.8942,0.62143,0.87324,0.58529,0.00237,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5617.01,1.18983,0.55144,0.00248,0.89779,0.82591,0.891,0.62356,0.86831,0.5928,0.00236,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5699.57,1.18115,0.54933,0.0025,0.91311,0.83012,0.8971,0.62616,0.86476,0.58061,0.0023,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5782.01,1.17844,0.54413,0.00248,0.91304,0.82962,0.89776,0.62826,0.85156,0.58732,0.00223,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,5864.97,1.16681,0.53269,0.00255,0.91169,0.83371,0.89846,0.62859,0.8526,0.5847,0.00228,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,5947.44,1.1831,0.54246,0.0025,0.90951,0.83017,0.89804,0.62767,0.86295,0.58889,0.00231,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6029.5,1.179,0.54859,0.00252,0.91046,0.82687,0.8978,0.62639,0.85651,0.58859,0.00228,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6111.06,1.17797,0.53425,0.00259,0.90787,0.82891,0.8969,0.62887,0.85601,0.58239,0.00228,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6193.65,1.16982,0.54504,0.00249,0.91,0.82763,0.89781,0.62727,0.8568,0.58251,0.00229,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,6275.81,1.16462,0.52512,0.00252,0.91271,0.82629,0.8974,0.62743,0.85893,0.5873,0.00228,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6358.25,1.1557,0.53175,0.00245,0.90375,0.83138,0.8994,0.62695,0.86211,0.5903,0.0023,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6440.97,1.1593,0.53895,0.00248,0.90742,0.8325,0.89817,0.62605,0.86811,0.59141,0.00232,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6523.46,1.16634,0.52876,0.00252,0.90276,0.83408,0.8968,0.62547,0.86124,0.59481,0.00231,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6605.44,1.15255,0.51819,0.00253,0.91389,0.83069,0.89873,0.62451,0.86371,0.59889,0.00231,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6687.47,1.17239,0.5335,0.00244,0.91347,0.82861,0.89899,0.62673,0.85979,0.59597,0.00231,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,6769.47,1.15666,0.52302,0.00247,0.90687,0.83115,0.89846,0.62729,0.85924,0.59955,0.00244,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
